"Variable","Label"
"chl0","number of de-jure children 5-14 for child labor module"
"shzone","geographical zone"
"shhreg","health regions"
"hvidx_01","line number"
"hvidx_02","line number"
"hvidx_03","line number"
"hvidx_04","line number"
"hvidx_05","line number"
"hvidx_06","line number"
"hvidx_07","line number"
"hvidx_08","line number"
"hvidx_09","line number"
"hvidx_10","line number"
"hvidx_11","line number"
"hvidx_12","line number"
"hvidx_13","line number"
"hvidx_14","line number"
"hvidx_15","line number"
"hvidx_16","line number"
"hvidx_17","line number"
"hvidx_18","line number"
"hvidx_19","line number"
"hvidx_20","line number"
"hvidx_21","line number"
"hvidx_22","line number"
"hvidx_23","line number"
"hvidx_24","line number"
"hvidx_25","line number"
"hvidx_26","line number"
"hvidx_27","line number"
"hvidx_28","line number"
"hvidx_29","line number"
"hvidx_30","line number"
"hvidx_31","line number"
"hvidx_32","line number"
"hvidx_33","line number"
"hvidx_34","line number"
"hvidx_35","line number"
"hvidx_36","line number"
"hvidx_37","line number"
"hvidx_38","line number"
"hvidx_39","line number"
"hvidx_40","line number"
"hvidx_41","line number"
"hvidx_42","line number"
"hvidx_43","line number"
"hvidx_44","line number"
"hvidx_45","line number"
"hvidx_46","line number"
"hvidx_47","line number"
"hvidx_48","line number"
"hvidx_49","line number"
"hvidx_50","line number"
"hvidx_51","line number"
"hvidx_52","line number"
"hvidx_53","line number"
"hvidx_54","line number"
"hvidx_55","line number"
"hvidx_56","line number"
"hvidx_57","line number"
"hvidx_58","line number"
"hvidx_59","line number"
"hvidx_60","line number"
"hvidx_61","line number"
"hvidx_62","line number"
"hvidx_63","line number"
"hvidx_64","line number"
"hvidx_65","line number"
"hvidx_66","line number"
"hvidx_67","line number"
"hvidx_68","line number"
"hvidx_69","line number"
"hvidx_70","line number"
"hvidx_71","line number"
"hvidx_72","line number"
"hvidx_73","line number"
"hvidx_74","line number"
"hvidx_75","line number"
"hvidx_76","line number"
"hvidx_77","line number"
"hvidx_78","line number"
"hvidx_79","line number"
"hvidx_80","line number"
"hvidx_81","line number"
"hvidx_82","line number"
"hvidx_83","line number"
"hvidx_84","line number"
"hvidx_85","line number"
"hvidx_86","line number"
"hvidx_87","line number"
"hvidx_88","line number"
"hvidx_89","line number"
"hvidx_90","line number"
"hv101_01","relationship to head"
"hv101_02","relationship to head"
"hv101_03","relationship to head"
"hv101_04","relationship to head"
"hv101_05","relationship to head"
"hv101_06","relationship to head"
"hv101_07","relationship to head"
"hv101_08","relationship to head"
"hv101_09","relationship to head"
"hv101_10","relationship to head"
"hv101_11","relationship to head"
"hv101_12","relationship to head"
"hv101_13","relationship to head"
"hv101_14","relationship to head"
"hv101_15","relationship to head"
"hv101_16","relationship to head"
"hv101_17","relationship to head"
"hv101_18","relationship to head"
"hv101_19","relationship to head"
"hv101_20","relationship to head"
"hv101_21","relationship to head"
"hv101_22","relationship to head"
"hv101_23","relationship to head"
"hv101_24","relationship to head"
"hv101_25","relationship to head"
"hv101_26","relationship to head"
"hv101_27","relationship to head"
"hv101_28","relationship to head"
"hv101_29","relationship to head"
"hv101_30","relationship to head"
"hv101_31","relationship to head"
"hv101_32","relationship to head"
"hv101_33","relationship to head"
"hv101_34","relationship to head"
"hv101_35","relationship to head"
"hv101_36","relationship to head"
"hv101_37","relationship to head"
"hv101_38","relationship to head"
"hv101_39","relationship to head"
"hv101_40","relationship to head"
"hv101_41","relationship to head"
"hv101_42","relationship to head"
"hv101_43","relationship to head"
"hv101_44","relationship to head"
"hv101_45","relationship to head"
"hv101_46","relationship to head"
"hv101_47","relationship to head"
"hv101_48","relationship to head"
"hv101_49","relationship to head"
"hv101_50","relationship to head"
"hv101_51","relationship to head"
"hv101_52","relationship to head"
"hv101_53","relationship to head"
"hv101_54","relationship to head"
"hv101_55","relationship to head"
"hv101_56","relationship to head"
"hv101_57","relationship to head"
"hv101_58","relationship to head"
"hv101_59","relationship to head"
"hv101_60","relationship to head"
"hv101_61","relationship to head"
"hv101_62","relationship to head"
"hv101_63","relationship to head"
"hv101_64","relationship to head"
"hv101_65","relationship to head"
"hv101_66","relationship to head"
"hv101_67","relationship to head"
"hv101_68","relationship to head"
"hv101_69","relationship to head"
"hv101_70","relationship to head"
"hv101_71","relationship to head"
"hv101_72","relationship to head"
"hv101_73","relationship to head"
"hv101_74","relationship to head"
"hv101_75","relationship to head"
"hv101_76","relationship to head"
"hv101_77","relationship to head"
"hv101_78","relationship to head"
"hv101_79","relationship to head"
"hv101_80","relationship to head"
"hv101_81","relationship to head"
"hv101_82","relationship to head"
"hv101_83","relationship to head"
"hv101_84","relationship to head"
"hv101_85","relationship to head"
"hv101_86","relationship to head"
"hv101_87","relationship to head"
"hv101_88","relationship to head"
"hv101_89","relationship to head"
"hv101_90","relationship to head"
"hv102_01","usual resident"
"hv102_02","usual resident"
"hv102_03","usual resident"
"hv102_04","usual resident"
"hv102_05","usual resident"
"hv102_06","usual resident"
"hv102_07","usual resident"
"hv102_08","usual resident"
"hv102_09","usual resident"
"hv102_10","usual resident"
"hv102_11","usual resident"
"hv102_12","usual resident"
"hv102_13","usual resident"
"hv102_14","usual resident"
"hv102_15","usual resident"
"hv102_16","usual resident"
"hv102_17","usual resident"
"hv102_18","usual resident"
"hv102_19","usual resident"
"hv102_20","usual resident"
"hv102_21","usual resident"
"hv102_22","usual resident"
"hv102_23","usual resident"
"hv102_24","usual resident"
"hv102_25","usual resident"
"hv102_26","usual resident"
"hv102_27","usual resident"
"hv102_28","usual resident"
"hv102_29","usual resident"
"hv102_30","usual resident"
"hv102_31","usual resident"
"hv102_32","usual resident"
"hv102_33","usual resident"
"hv102_34","usual resident"
"hv102_35","usual resident"
"hv102_36","usual resident"
"hv102_37","usual resident"
"hv102_38","usual resident"
"hv102_39","usual resident"
"hv102_40","usual resident"
"hv102_41","usual resident"
"hv102_42","usual resident"
"hv102_43","usual resident"
"hv102_44","usual resident"
"hv102_45","usual resident"
"hv102_46","usual resident"
"hv102_47","usual resident"
"hv102_48","usual resident"
"hv102_49","usual resident"
"hv102_50","usual resident"
"hv102_51","usual resident"
"hv102_52","usual resident"
"hv102_53","usual resident"
"hv102_54","usual resident"
"hv102_55","usual resident"
"hv102_56","usual resident"
"hv102_57","usual resident"
"hv102_58","usual resident"
"hv102_59","usual resident"
"hv102_60","usual resident"
"hv102_61","usual resident"
"hv102_62","usual resident"
"hv102_63","usual resident"
"hv102_64","usual resident"
"hv102_65","usual resident"
"hv102_66","usual resident"
"hv102_67","usual resident"
"hv102_68","usual resident"
"hv102_69","usual resident"
"hv102_70","usual resident"
"hv102_71","usual resident"
"hv102_72","usual resident"
"hv102_73","usual resident"
"hv102_74","usual resident"
"hv102_75","usual resident"
"hv102_76","usual resident"
"hv102_77","usual resident"
"hv102_78","usual resident"
"hv102_79","usual resident"
"hv102_80","usual resident"
"hv102_81","usual resident"
"hv102_82","usual resident"
"hv102_83","usual resident"
"hv102_84","usual resident"
"hv102_85","usual resident"
"hv102_86","usual resident"
"hv102_87","usual resident"
"hv102_88","usual resident"
"hv102_89","usual resident"
"hv102_90","usual resident"
"hv103_01","slept last night"
"hv103_02","slept last night"
"hv103_03","slept last night"
"hv103_04","slept last night"
"hv103_05","slept last night"
"hv103_06","slept last night"
"hv103_07","slept last night"
"hv103_08","slept last night"
"hv103_09","slept last night"
"hv103_10","slept last night"
"hv103_11","slept last night"
"hv103_12","slept last night"
"hv103_13","slept last night"
"hv103_14","slept last night"
"hv103_15","slept last night"
"hv103_16","slept last night"
"hv103_17","slept last night"
"hv103_18","slept last night"
"hv103_19","slept last night"
"hv103_20","slept last night"
"hv103_21","slept last night"
"hv103_22","slept last night"
"hv103_23","slept last night"
"hv103_24","slept last night"
"hv103_25","slept last night"
"hv103_26","slept last night"
"hv103_27","slept last night"
"hv103_28","slept last night"
"hv103_29","slept last night"
"hv103_30","slept last night"
"hv103_31","slept last night"
"hv103_32","slept last night"
"hv103_33","slept last night"
"hv103_34","slept last night"
"hv103_35","slept last night"
"hv103_36","slept last night"
"hv103_37","slept last night"
"hv103_38","slept last night"
"hv103_39","slept last night"
"hv103_40","slept last night"
"hv103_41","slept last night"
"hv103_42","slept last night"
"hv103_43","slept last night"
"hv103_44","slept last night"
"hv103_45","slept last night"
"hv103_46","slept last night"
"hv103_47","slept last night"
"hv103_48","slept last night"
"hv103_49","slept last night"
"hv103_50","slept last night"
"hv103_51","slept last night"
"hv103_52","slept last night"
"hv103_53","slept last night"
"hv103_54","slept last night"
"hv103_55","slept last night"
"hv103_56","slept last night"
"hv103_57","slept last night"
"hv103_58","slept last night"
"hv103_59","slept last night"
"hv103_60","slept last night"
"hv103_61","slept last night"
"hv103_62","slept last night"
"hv103_63","slept last night"
"hv103_64","slept last night"
"hv103_65","slept last night"
"hv103_66","slept last night"
"hv103_67","slept last night"
"hv103_68","slept last night"
"hv103_69","slept last night"
"hv103_70","slept last night"
"hv103_71","slept last night"
"hv103_72","slept last night"
"hv103_73","slept last night"
"hv103_74","slept last night"
"hv103_75","slept last night"
"hv103_76","slept last night"
"hv103_77","slept last night"
"hv103_78","slept last night"
"hv103_79","slept last night"
"hv103_80","slept last night"
"hv103_81","slept last night"
"hv103_82","slept last night"
"hv103_83","slept last night"
"hv103_84","slept last night"
"hv103_85","slept last night"
"hv103_86","slept last night"
"hv103_87","slept last night"
"hv103_88","slept last night"
"hv103_89","slept last night"
"hv103_90","slept last night"
"hv104_01","sex of household member"
"hv104_02","sex of household member"
"hv104_03","sex of household member"
"hv104_04","sex of household member"
"hv104_05","sex of household member"
"hv104_06","sex of household member"
"hv104_07","sex of household member"
"hv104_08","sex of household member"
"hv104_09","sex of household member"
"hv104_10","sex of household member"
"hv104_11","sex of household member"
"hv104_12","sex of household member"
"hv104_13","sex of household member"
"hv104_14","sex of household member"
"hv104_15","sex of household member"
"hv104_16","sex of household member"
"hv104_17","sex of household member"
"hv104_18","sex of household member"
"hv104_19","sex of household member"
"hv104_20","sex of household member"
"hv104_21","sex of household member"
"hv104_22","sex of household member"
"hv104_23","sex of household member"
"hv104_24","sex of household member"
"hv104_25","sex of household member"
"hv104_26","sex of household member"
"hv104_27","sex of household member"
"hv104_28","sex of household member"
"hv104_29","sex of household member"
"hv104_30","sex of household member"
"hv104_31","sex of household member"
"hv104_32","sex of household member"
"hv104_33","sex of household member"
"hv104_34","sex of household member"
"hv104_35","sex of household member"
"hv104_36","sex of household member"
"hv104_37","sex of household member"
"hv104_38","sex of household member"
"hv104_39","sex of household member"
"hv104_40","sex of household member"
"hv104_41","sex of household member"
"hv104_42","sex of household member"
"hv104_43","sex of household member"
"hv104_44","sex of household member"
"hv104_45","sex of household member"
"hv104_46","sex of household member"
"hv104_47","sex of household member"
"hv104_48","sex of household member"
"hv104_49","sex of household member"
"hv104_50","sex of household member"
"hv104_51","sex of household member"
"hv104_52","sex of household member"
"hv104_53","sex of household member"
"hv104_54","sex of household member"
"hv104_55","sex of household member"
"hv104_56","sex of household member"
"hv104_57","sex of household member"
"hv104_58","sex of household member"
"hv104_59","sex of household member"
"hv104_60","sex of household member"
"hv104_61","sex of household member"
"hv104_62","sex of household member"
"hv104_63","sex of household member"
"hv104_64","sex of household member"
"hv104_65","sex of household member"
"hv104_66","sex of household member"
"hv104_67","sex of household member"
"hv104_68","sex of household member"
"hv104_69","sex of household member"
"hv104_70","sex of household member"
"hv104_71","sex of household member"
"hv104_72","sex of household member"
"hv104_73","sex of household member"
"hv104_74","sex of household member"
"hv104_75","sex of household member"
"hv104_76","sex of household member"
"hv104_77","sex of household member"
"hv104_78","sex of household member"
"hv104_79","sex of household member"
"hv104_80","sex of household member"
"hv104_81","sex of household member"
"hv104_82","sex of household member"
"hv104_83","sex of household member"
"hv104_84","sex of household member"
"hv104_85","sex of household member"
"hv104_86","sex of household member"
"hv104_87","sex of household member"
"hv104_88","sex of household member"
"hv104_89","sex of household member"
"hv104_90","sex of household member"
"hv105_01","age of household members"
"hv105_02","age of household members"
"hv105_03","age of household members"
"hv105_04","age of household members"
"hv105_05","age of household members"
"hv105_06","age of household members"
"hv105_07","age of household members"
"hv105_08","age of household members"
"hv105_09","age of household members"
"hv105_10","age of household members"
"hv105_11","age of household members"
"hv105_12","age of household members"
"hv105_13","age of household members"
"hv105_14","age of household members"
"hv105_15","age of household members"
"hv105_16","age of household members"
"hv105_17","age of household members"
"hv105_18","age of household members"
"hv105_19","age of household members"
"hv105_20","age of household members"
"hv105_21","age of household members"
"hv105_22","age of household members"
"hv105_23","age of household members"
"hv105_24","age of household members"
"hv105_25","age of household members"
"hv105_26","age of household members"
"hv105_27","age of household members"
"hv105_28","age of household members"
"hv105_29","age of household members"
"hv105_30","age of household members"
"hv105_31","age of household members"
"hv105_32","age of household members"
"hv105_33","age of household members"
"hv105_34","age of household members"
"hv105_35","age of household members"
"hv105_36","age of household members"
"hv105_37","age of household members"
"hv105_38","age of household members"
"hv105_39","age of household members"
"hv105_40","age of household members"
"hv105_41","age of household members"
"hv105_42","age of household members"
"hv105_43","age of household members"
"hv105_44","age of household members"
"hv105_45","age of household members"
"hv105_46","age of household members"
"hv105_47","age of household members"
"hv105_48","age of household members"
"hv105_49","age of household members"
"hv105_50","age of household members"
"hv105_51","age of household members"
"hv105_52","age of household members"
"hv105_53","age of household members"
"hv105_54","age of household members"
"hv105_55","age of household members"
"hv105_56","age of household members"
"hv105_57","age of household members"
"hv105_58","age of household members"
"hv105_59","age of household members"
"hv105_60","age of household members"
"hv105_61","age of household members"
"hv105_62","age of household members"
"hv105_63","age of household members"
"hv105_64","age of household members"
"hv105_65","age of household members"
"hv105_66","age of household members"
"hv105_67","age of household members"
"hv105_68","age of household members"
"hv105_69","age of household members"
"hv105_70","age of household members"
"hv105_71","age of household members"
"hv105_72","age of household members"
"hv105_73","age of household members"
"hv105_74","age of household members"
"hv105_75","age of household members"
"hv105_76","age of household members"
"hv105_77","age of household members"
"hv105_78","age of household members"
"hv105_79","age of household members"
"hv105_80","age of household members"
"hv105_81","age of household members"
"hv105_82","age of household members"
"hv105_83","age of household members"
"hv105_84","age of household members"
"hv105_85","age of household members"
"hv105_86","age of household members"
"hv105_87","age of household members"
"hv105_88","age of household members"
"hv105_89","age of household members"
"hv105_90","age of household members"
"hv106_01","highest educational level attained"
"hv106_02","highest educational level attained"
"hv106_03","highest educational level attained"
"hv106_04","highest educational level attained"
"hv106_05","highest educational level attained"
"hv106_06","highest educational level attained"
"hv106_07","highest educational level attained"
"hv106_08","highest educational level attained"
"hv106_09","highest educational level attained"
"hv106_10","highest educational level attained"
"hv106_11","highest educational level attained"
"hv106_12","highest educational level attained"
"hv106_13","highest educational level attained"
"hv106_14","highest educational level attained"
"hv106_15","highest educational level attained"
"hv106_16","highest educational level attained"
"hv106_17","highest educational level attained"
"hv106_18","highest educational level attained"
"hv106_19","highest educational level attained"
"hv106_20","highest educational level attained"
"hv106_21","highest educational level attained"
"hv106_22","highest educational level attained"
"hv106_23","highest educational level attained"
"hv106_24","highest educational level attained"
"hv106_25","highest educational level attained"
"hv106_26","highest educational level attained"
"hv106_27","highest educational level attained"
"hv106_28","highest educational level attained"
"hv106_29","highest educational level attained"
"hv106_30","highest educational level attained"
"hv106_31","highest educational level attained"
"hv106_32","highest educational level attained"
"hv106_33","highest educational level attained"
"hv106_34","highest educational level attained"
"hv106_35","highest educational level attained"
"hv106_36","highest educational level attained"
"hv106_37","highest educational level attained"
"hv106_38","highest educational level attained"
"hv106_39","highest educational level attained"
"hv106_40","highest educational level attained"
"hv106_41","highest educational level attained"
"hv106_42","highest educational level attained"
"hv106_43","highest educational level attained"
"hv106_44","highest educational level attained"
"hv106_45","highest educational level attained"
"hv106_46","highest educational level attained"
"hv106_47","highest educational level attained"
"hv106_48","highest educational level attained"
"hv106_49","highest educational level attained"
"hv106_50","highest educational level attained"
"hv106_51","highest educational level attained"
"hv106_52","highest educational level attained"
"hv106_53","highest educational level attained"
"hv106_54","highest educational level attained"
"hv106_55","highest educational level attained"
"hv106_56","highest educational level attained"
"hv106_57","highest educational level attained"
"hv106_58","highest educational level attained"
"hv106_59","highest educational level attained"
"hv106_60","highest educational level attained"
"hv106_61","highest educational level attained"
"hv106_62","highest educational level attained"
"hv106_63","highest educational level attained"
"hv106_64","highest educational level attained"
"hv106_65","highest educational level attained"
"hv106_66","highest educational level attained"
"hv106_67","highest educational level attained"
"hv106_68","highest educational level attained"
"hv106_69","highest educational level attained"
"hv106_70","highest educational level attained"
"hv106_71","highest educational level attained"
"hv106_72","highest educational level attained"
"hv106_73","highest educational level attained"
"hv106_74","highest educational level attained"
"hv106_75","highest educational level attained"
"hv106_76","highest educational level attained"
"hv106_77","highest educational level attained"
"hv106_78","highest educational level attained"
"hv106_79","highest educational level attained"
"hv106_80","highest educational level attained"
"hv106_81","highest educational level attained"
"hv106_82","highest educational level attained"
"hv106_83","highest educational level attained"
"hv106_84","highest educational level attained"
"hv106_85","highest educational level attained"
"hv106_86","highest educational level attained"
"hv106_87","highest educational level attained"
"hv106_88","highest educational level attained"
"hv106_89","highest educational level attained"
"hv106_90","highest educational level attained"
"hv107_01","highest year of education completed"
"hv107_02","highest year of education completed"
"hv107_03","highest year of education completed"
"hv107_04","highest year of education completed"
"hv107_05","highest year of education completed"
"hv107_06","highest year of education completed"
"hv107_07","highest year of education completed"
"hv107_08","highest year of education completed"
"hv107_09","highest year of education completed"
"hv107_10","highest year of education completed"
"hv107_11","highest year of education completed"
"hv107_12","highest year of education completed"
"hv107_13","highest year of education completed"
"hv107_14","highest year of education completed"
"hv107_15","highest year of education completed"
"hv107_16","highest year of education completed"
"hv107_17","highest year of education completed"
"hv107_18","highest year of education completed"
"hv107_19","highest year of education completed"
"hv107_20","highest year of education completed"
"hv107_21","highest year of education completed"
"hv107_22","highest year of education completed"
"hv107_23","highest year of education completed"
"hv107_24","highest year of education completed"
"hv107_25","highest year of education completed"
"hv107_26","highest year of education completed"
"hv107_27","highest year of education completed"
"hv107_28","highest year of education completed"
"hv107_29","highest year of education completed"
"hv107_30","highest year of education completed"
"hv107_31","highest year of education completed"
"hv107_32","highest year of education completed"
"hv107_33","highest year of education completed"
"hv107_34","highest year of education completed"
"hv107_35","highest year of education completed"
"hv107_36","highest year of education completed"
"hv107_37","highest year of education completed"
"hv107_38","highest year of education completed"
"hv107_39","highest year of education completed"
"hv107_40","highest year of education completed"
"hv107_41","highest year of education completed"
"hv107_42","highest year of education completed"
"hv107_43","highest year of education completed"
"hv107_44","highest year of education completed"
"hv107_45","highest year of education completed"
"hv107_46","highest year of education completed"
"hv107_47","highest year of education completed"
"hv107_48","highest year of education completed"
"hv107_49","highest year of education completed"
"hv107_50","highest year of education completed"
"hv107_51","highest year of education completed"
"hv107_52","highest year of education completed"
"hv107_53","highest year of education completed"
"hv107_54","highest year of education completed"
"hv107_55","highest year of education completed"
"hv107_56","highest year of education completed"
"hv107_57","highest year of education completed"
"hv107_58","highest year of education completed"
"hv107_59","highest year of education completed"
"hv107_60","highest year of education completed"
"hv107_61","highest year of education completed"
"hv107_62","highest year of education completed"
"hv107_63","highest year of education completed"
"hv107_64","highest year of education completed"
"hv107_65","highest year of education completed"
"hv107_66","highest year of education completed"
"hv107_67","highest year of education completed"
"hv107_68","highest year of education completed"
"hv107_69","highest year of education completed"
"hv107_70","highest year of education completed"
"hv107_71","highest year of education completed"
"hv107_72","highest year of education completed"
"hv107_73","highest year of education completed"
"hv107_74","highest year of education completed"
"hv107_75","highest year of education completed"
"hv107_76","highest year of education completed"
"hv107_77","highest year of education completed"
"hv107_78","highest year of education completed"
"hv107_79","highest year of education completed"
"hv107_80","highest year of education completed"
"hv107_81","highest year of education completed"
"hv107_82","highest year of education completed"
"hv107_83","highest year of education completed"
"hv107_84","highest year of education completed"
"hv107_85","highest year of education completed"
"hv107_86","highest year of education completed"
"hv107_87","highest year of education completed"
"hv107_88","highest year of education completed"
"hv107_89","highest year of education completed"
"hv107_90","highest year of education completed"
"hv108_01","education completed in single years"
"hv108_02","education completed in single years"
"hv108_03","education completed in single years"
"hv108_04","education completed in single years"
"hv108_05","education completed in single years"
"hv108_06","education completed in single years"
"hv108_07","education completed in single years"
"hv108_08","education completed in single years"
"hv108_09","education completed in single years"
"hv108_10","education completed in single years"
"hv108_11","education completed in single years"
"hv108_12","education completed in single years"
"hv108_13","education completed in single years"
"hv108_14","education completed in single years"
"hv108_15","education completed in single years"
"hv108_16","education completed in single years"
"hv108_17","education completed in single years"
"hv108_18","education completed in single years"
"hv108_19","education completed in single years"
"hv108_20","education completed in single years"
"hv108_21","education completed in single years"
"hv108_22","education completed in single years"
"hv108_23","education completed in single years"
"hv108_24","education completed in single years"
"hv108_25","education completed in single years"
"hv108_26","education completed in single years"
"hv108_27","education completed in single years"
"hv108_28","education completed in single years"
"hv108_29","education completed in single years"
"hv108_30","education completed in single years"
"hv108_31","education completed in single years"
"hv108_32","education completed in single years"
"hv108_33","education completed in single years"
"hv108_34","education completed in single years"
"hv108_35","education completed in single years"
"hv108_36","education completed in single years"
"hv108_37","education completed in single years"
"hv108_38","education completed in single years"
"hv108_39","education completed in single years"
"hv108_40","education completed in single years"
"hv108_41","education completed in single years"
"hv108_42","education completed in single years"
"hv108_43","education completed in single years"
"hv108_44","education completed in single years"
"hv108_45","education completed in single years"
"hv108_46","education completed in single years"
"hv108_47","education completed in single years"
"hv108_48","education completed in single years"
"hv108_49","education completed in single years"
"hv108_50","education completed in single years"
"hv108_51","education completed in single years"
"hv108_52","education completed in single years"
"hv108_53","education completed in single years"
"hv108_54","education completed in single years"
"hv108_55","education completed in single years"
"hv108_56","education completed in single years"
"hv108_57","education completed in single years"
"hv108_58","education completed in single years"
"hv108_59","education completed in single years"
"hv108_60","education completed in single years"
"hv108_61","education completed in single years"
"hv108_62","education completed in single years"
"hv108_63","education completed in single years"
"hv108_64","education completed in single years"
"hv108_65","education completed in single years"
"hv108_66","education completed in single years"
"hv108_67","education completed in single years"
"hv108_68","education completed in single years"
"hv108_69","education completed in single years"
"hv108_70","education completed in single years"
"hv108_71","education completed in single years"
"hv108_72","education completed in single years"
"hv108_73","education completed in single years"
"hv108_74","education completed in single years"
"hv108_75","education completed in single years"
"hv108_76","education completed in single years"
"hv108_77","education completed in single years"
"hv108_78","education completed in single years"
"hv108_79","education completed in single years"
"hv108_80","education completed in single years"
"hv108_81","education completed in single years"
"hv108_82","education completed in single years"
"hv108_83","education completed in single years"
"hv108_84","education completed in single years"
"hv108_85","education completed in single years"
"hv108_86","education completed in single years"
"hv108_87","education completed in single years"
"hv108_88","education completed in single years"
"hv108_89","education completed in single years"
"hv108_90","education completed in single years"
"hv109_01","educational attainment"
"hv109_02","educational attainment"
"hv109_03","educational attainment"
"hv109_04","educational attainment"
"hv109_05","educational attainment"
"hv109_06","educational attainment"
"hv109_07","educational attainment"
"hv109_08","educational attainment"
"hv109_09","educational attainment"
"hv109_10","educational attainment"
"hv109_11","educational attainment"
"hv109_12","educational attainment"
"hv109_13","educational attainment"
"hv109_14","educational attainment"
"hv109_15","educational attainment"
"hv109_16","educational attainment"
"hv109_17","educational attainment"
"hv109_18","educational attainment"
"hv109_19","educational attainment"
"hv109_20","educational attainment"
"hv109_21","educational attainment"
"hv109_22","educational attainment"
"hv109_23","educational attainment"
"hv109_24","educational attainment"
"hv109_25","educational attainment"
"hv109_26","educational attainment"
"hv109_27","educational attainment"
"hv109_28","educational attainment"
"hv109_29","educational attainment"
"hv109_30","educational attainment"
"hv109_31","educational attainment"
"hv109_32","educational attainment"
"hv109_33","educational attainment"
"hv109_34","educational attainment"
"hv109_35","educational attainment"
"hv109_36","educational attainment"
